tracker,case,points,delta_k,delta_m,raw_gap,sheet_residual
nearest,A,901,0,1,1.0960567632763896,2.0888836804026048e-17
nearest,B,901,1,0,3.3111951512797497,0.0
nearest,A_then_B,1801,1,1,0.08364866686351986,0.0
nearest,B_then_A,1801,1,0,3.3111951512797497,0.0
nearest,two_A,1801,0,2,1.0879061763234121,0.0
nearest,three_B,2701,3,0,7.580949250004179,0.0
nearest,A_then_Ainv,1801,0,0,8.295626829586799e-17,8.295626829586799e-17
lift_guided,A,901,0,1,1.0960567632763896,2.0888836804026048e-17
lift_guided,B,901,1,0,3.3111951512797497,0.0
lift_guided,A_then_B,1801,1,1,0.08364866686351986,0.0
lift_guided,B_then_A,1801,1,0,3.3111951512797497,0.0
lift_guided,two_A,1801,0,2,1.0879061763234121,0.0
lift_guided,three_B,2701,3,0,7.580949250004179,0.0
lift_guided,A_then_Ainv,1801,0,0,8.295626829586799e-17,8.295626829586799e-17
